,Title,Cast and crew,director,cast_crew,genres,id
0,Underworld: Blood Wars,"Anna Foerster (director); Cory Goodman (screenplay); Kate Beckinsale, Theo James, Lara Pulver, James Faulkner, Charles Dance",Anna Foerster ," Kate Beckinsale, Theo James, Lara Pulver, James Faulkner, Charles Dance",Fantasy Action Thriller Horror,346672
1,Arsenal,"Steven C. Miller (director); Jason Mosberg (screenplay); Adrian Grenier, Johnathon Schaech, Nicolas Cage, Lydia Hull, Christopher Coppola, Megan Leonard, Christopher Rob Bowen, Tyler Jon Olson, Shea Buckner, John Cusack",Steven C. Miller ," Adrian Grenier, Johnathon Schaech, Nicolas Cage, Lydia Hull, Christopher Coppola, Megan Leonard, Christopher Rob Bowen, Tyler Jon Olson, Shea Buckner, John Cusack",Thriller,388202
2,Between Us,"Rafael Palacio Illingworth (director/screenplay); Olivia Thirlby, Ben Feldman, Adam Goldberg, Analeigh Tipton, Scott Haze, Peter Bogdanovich, Lesley Ann Warren",Rafael Palacio Illingworth ," Olivia Thirlby, Ben Feldman, Adam Goldberg, Analeigh Tipton, Scott Haze, Peter Bogdanovich, Lesley Ann Warren",Romance Adventure Drama,290512
3,Monster Trucks,"Chris Wedge (director); Derek Connolly (screenplay); Lucas Till, Jane Levy, Amy Ryan, Holt McCallany, Rob Lowe, Danny Glover, Barry Pepper",Chris Wedge ," Lucas Till, Jane Levy, Amy Ryan, Holt McCallany, Rob Lowe, Danny Glover, Barry Pepper",Action Comedy Science Fiction,262841
4,The Bye Bye Man,"Stacy Title (director); Jonathan Penner (screenplay); Douglas Smith, Doug Jones, Michael Trucco, Cressida Bonas, Lucien Laviscount, Carrie-Anne Moss, Faye Dunaway",Stacy Title ," Douglas Smith, Doug Jones, Michael Trucco, Cressida Bonas, Lucien Laviscount, Carrie-Anne Moss, Faye Dunaway",Horror Thriller,292280
5,Sleepless,"Baran bo Odar (director); Andrea Berloff (screenplay); Jamie Foxx, Dermot Mulroney, Tip ""T.I."" Harris, Gabrielle Union, David Harbour, Michelle Monaghan, Scoot McNairy",Baran bo Odar ," Jamie Foxx, Dermot Mulroney, Tip ""T.I."" Harris, Gabrielle Union, David Harbour, Michelle Monaghan, Scoot McNairy",Action Crime Thriller,324542
6,100 Streets,"Jim O'Hanlon (director); Leon F. Butler (screenplay); Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",Jim O'Hanlon ," Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",Drama,334532
7,The Book of Love,"Bill Purple (director/screenplay); Robbie Pickering (screenplay); Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser",Bill Purple ," Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser",Comedy,26123
8,Split,"M. Night Shyamalan (director/screenplay); James McAvoy, Anya Taylor-Joy, Betty Buckley",M. Night Shyamalan ," James McAvoy, Anya Taylor-Joy, Betty Buckley",Horror Thriller,381288
9,XXX: Return of Xander Cage,"D. J. Caruso (director); F. Scott Frazier (screenplay); Vin Diesel, Samuel L. Jackson, Donnie Yen, Deepika Padukone, Kris Wu, Nina Dobrev, Tony Jaa, Ruby Rose, Toni Collette",D. J. Caruso ," Vin Diesel, Samuel L. Jackson, Donnie Yen, Deepika Padukone, Kris Wu, Nina Dobrev, Tony Jaa, Ruby Rose, Toni Collette",Action Adventure Crime,47971
10,The Resurrection of Gavin Stone,"Dallas Jenkins (director); Andrea Gyertson Nasfell (screenplay); Brett Dalton, Anjelah Johnson, Neil Flynn, Shawn Michaels, D. B. Sweeney",Dallas Jenkins ," Brett Dalton, Anjelah Johnson, Neil Flynn, Shawn Michaels, D. B. Sweeney",Comedy Drama,422114
11,Trespass Against Us,"Adam Smith (director); Alastair Siddons (screenplay); Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Killian Scott, Rory Kinnear, Sean Harris",Adam Smith ," Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Killian Scott, Rory Kinnear, Sean Harris",Action Crime Drama,256569
